sangfroidperilouslicentiousebullientabasement
abated	{'Verb': ['make less active or intense', 'become less in amount or intensity']}
amiable	{'Adjective': ['disposed to please', 'diffusing warmth and friendliness']}
amicable	{'Adjective': ['characterized by friendship and good will']}
amicably	{'Adverb': ['in an amicable manner']}
amity	{'Noun': ['a cordial disposition', 'a state of friendship and cordiality']}
amorality	{'Noun': ['the quality of being amoral']}
amorphous	{'Adjective': ['having no definite form or distinct shape', 'lacking the system or structure characteristic of living bodies', '(of a group of people or an organization', 'unclear because vague or badly organized', 'without real or apparent crystalline form']}
amortized	{'Verb': ['liquidate gradually']}
anachronistic	{'Adjective': ['chronologically misplaced']}
anarchist	{'Noun': ['an advocate of anarchism']}
anathema	{'Noun': ['a detested person', 'a formal ecclesiastical curse accompanied by excommunication']}
anecdotal	{'Adjective': ['having the character of an anecdote', 'characterized by or given to telling anecdotes']}
anecdote	{'Noun': ['short account of an incident (especially a biographical one']}
anemic	{'Adjective': ['lacking vigor or energy', 'relating to anemia or suffering from anemia']}
annotated	{'Verb': ['add explanatory notes to or supply with critical comments', 'provide interlinear explanations for words or phrases']}
anomalies	{'Noun': ['deviation from the normal or common order or form or rule', 'a person who is unusual', '(astronomy', 'as observed from the sun']}
anomalous	{'Adjective': ['deviating from the general or common order or type']}
anomaly	{'Noun': ['deviation from the normal or common order or form or rule', 'a person who is unusual', '(astronomy', 'as observed from the sun']}
anomie	{'Noun': ['personal state of isolation and anxiety resulting from a lack of social control and regulation', 'lack of moral standards in a society']}
antagonism	{'Noun': ['a state of deep-seated ill-will', 'the relation between opposing principles or forces or factors', 'an actively expressed feeling of dislike and hostility', '(biochemistry']}
antagonistic	"{'Adjective': ['indicating opposition or resistance', 'characterized by antagonism or antipathy', 'arousing animosity or hostility', ""used especially of drugs or muscles that counteract or neutralize each other's effect"", 'incapable of harmonious association']}"
antedated	{'Verb': ['be earlier in time; go back further', 'establish something as being earlier relative to something else']}
antediluvian	{'Noun': ['any of the early patriarchs who lived prior to the Noachian deluge', 'a very old person'], 'Adjective': ['of or relating to the period before the biblical flood', 'so extremely old as seeming to belong to an earlier period']}
anticipated	{'Verb': ['regard something as probable or likely', 'act in advance of; deal with ahead of time', 'realize beforehand', 'make a prediction about; tell in advance', 'be excited or anxious about', 'be a forerunner of or occur earlier than'], 'Adjective': ['expected hopefully']}
antipathy	{'Noun': ['a feeling of intense dislike', 'the object of a feeling of intense aversion; something to be avoided']}
antiquated	{'Verb': ['make obsolete or old-fashioned', 'give an antique appearance to'], 'Adjective': ['so extremely old as seeming to belong to an earlier period']}
antithetical	{'Adjective': ['sharply contrasted in character or purpose']}
apathetic	{'Adjective': ['showing little or no emotion or animation', 'marked by a lack of interest']}
apathy	{'Noun': ['an absence of emotion or enthusiasm', 'the trait of lacking enthusiasm for or interest in things generally']}
ape	{'Noun': ['any of various primates with short tails or no tail at all', 'someone who copies the words or behavior of another', 'person who resembles a nonhuman primate'], 'Verb': ['imitate uncritically and in every aspect', 'represent in or produce a caricature of']}
apex	{'Noun': ['the highest point (of something', 'the point on the celestial sphere toward which the sun and solar system appear to be moving relative to the fixed stars']}
aphorism	{'Noun': ['a short pithy instructive saying']}
apocalyptic	{'Adjective': ['prophetic of devastation or ultimate doom', 'of or relating to an apocalypse']}
apocrypha	{'Noun': ['14 books of the Old Testament included in the Vulgate (except for II Esdras', 'except the Coptic Church']}
apocryphal	{'Adjective': ['being of questionable authenticity', 'of or belonging to the Apocrypha']}
apologia	{'Noun': ['a formal written defense of something you believe in strongly']}
apologist	{'Noun': ['a person who argues to defend or justify some policy or institution']}
appease	{'Verb': ['cause to be more favorably inclined; gain the good will of', 'overcome or allay', 'make peace with']}
appellations	{'Noun': ['identifying word or words by which someone or something is called and classified or distinguished from others', 'a geographical indication used to identify where the grapes for a wine are grown']}
apportioned	"{'Verb': ['distribute according to a plan or set apart for a special purpose', ""give out as one's portion or share""], 'Adjective': ['given out in portions']}"
approbation	{'Noun': ['official approval', 'official recognition or approval']}
appropriate	{'Verb': ['give or assign a resource to a particular person or cause', 'take possession of by force, as after an invasion'], 'Adjective': ['suitable for a particular person or place or condition etc']}
apportioned	"{'Verb': ['distribute according to a plan or set apart for a special purpose', ""give out as one's portion or share""], 'Adjective': ['given out in portions']}"
approbation	{'Noun': ['official approval', 'official recognition or approval']}
appropriate	{'Verb': ['give or assign a resource to a particular person or cause', 'take possession of by force, as after an invasion'], 'Adjective': ['suitable for a particular person or place or condition etc']}
appropriation	{'Noun': ['money set aside (as by a legislature', 'incorporation by joining or uniting', 'a deliberate act of acquisition of something, often without the permission of the owner']}
aptitudes	{'Noun': ['inherent ability']}
aquiline	"{'Adjective': [""curved down like an eagle's beak""]}"
arcades	{'Noun': ['a covered passageway with shops and stalls on either side', 'a structure composed of a series of arches supported by columns']}
Arcadian	{'Noun': ['an inhabitant of Arcadia'], 'Adjective': ['(used with regard to idealized country life']}
archaically
arduous	{'Adjective': ['characterized by effort to the point of exhaustion; especially physical effort', 'taxing to the utmost; testing powers of endurance', 'difficult to accomplish; demanding considerable mental effort and skill']}
arid	{'Adjective': ['lacking sufficient water or rainfall', 'lacking vitality or spirit; lifeless']}
aristocratic	{'Adjective': ['belonging to or characteristic of the nobility or aristocracy']}
arresting	{'Verb': ['take into custody', 'hold back, as of a danger or an enemy; check the expansion or influence of', 'attract and fix', 'cause to stop'], 'Adjective': ['commanding attention']}
artful	{'Adjective': ['not straightforward or candid; giving a false appearance of frankness', 'marked by skill in achieving a desired end especially with cunning or craft']}
artfully	{'Adverb': ['in an artful manner', 'in a disingenuous manner', 'in an artful manner']}
articulate	{'Verb': ['provide with a joint', 'put into words or an expression', 'speak, pronounce, or utter in a certain way', 'unite by forming a joint or joints', 'express or state clearly'], 'Adjective': ['expressing yourself easily or characterized by clear expressive language', 'consisting of segments held together by joints']}
artifacts	{'Noun': ['a man-made object taken as a whole']}
artifices	{'Noun': ['a deceptive maneuver (especially to avoid capture']}
artisans	{'Noun': ['a skilled worker who practices some trade or handicraft']}
artless	{'Adjective': ['characterized by an inability to mask your feelings; not devious', 'simple and natural; without cunning or deceit', 'showing lack of art', '(of persons']}
ascension	{'Noun': ['(Christianity', 'a movement upward', '(New Testament', '(astronomy', 'the act of changing location in an upward direction']}
ascent	{'Noun': ['an upward slope or grade (as in a road', 'a movement upward', 'the act of changing location in an upward direction']}
ascertain	{'Verb': ['establish after a calculation, investigation, experiment, survey, or study', 'be careful or certain to do something; make certain of something', 'find out, learn, or determine with certainty, usually by making an inquiry or other effort', 'learn or discover with certainty']}
ascetic	{'Noun': ['someone who practices self denial as a spiritual discipline'], 'Adjective': ['pertaining to or characteristic of an ascetic or the practice of rigorous self-discipline', 'practicing great self-denial']}
asceticism	{'Noun': ['the doctrine that through renunciation of worldly pleasures it is possible to achieve a high spiritual or intellectual state', 'the trait of great self-denial (especially refraining from worldly pleasures', 'rigorous self-denial and active self-restraint']}
askance	{'Adjective': ['(used especially of glances'], 'Adverb': ['with suspicion or disapproval', 'with a side or oblique glance']}
asperity	{'Noun': ['something hard to endure', 'harshness of manner']}
assent	{'Noun': ['agreement with a statement or proposal to do something'], 'Verb': ['to agree or express agreement']}
asserts	"{'Verb': ['state categorically', 'to declare or affirm solemnly and formally as true', ""insist on having one's opinions and rights recognized"", 'postulate positively and assertively']}"
assiduous	{'Adjective': ['marked by care and persistent effort']}
assimilation	{'Noun': ['the state of being assimilated; people of different backgrounds come to see themselves as part of a larger national family', 'the social process of absorbing one cultural group into harmony with another', 'the process of absorbing nutrients into the body after digestion', 'a linguistic process by which a sound becomes similar to an adjacent sound', 'the process of assimilating new ideas into an existing cognitive structure', 'in the theories of Jean Piaget: the application of a general schema to a particular instance']}
assuage	{'Verb': ['cause to be more favorably inclined; gain the good will of', 'satisfy (thirst', 'provide physical relief, as from pain']}
asylum	{'Noun': ['a shelter from danger or hardship', 'a hospital for mentally incompetent or unbalanced person']}
asymmetrical	{'Adjective': ['characterized by asymmetry in the spatial arrangement or placement of parts or components', 'irregular in shape or outline']}
attest	"{'Verb': [""provide evidence for; stand as proof of; show by one's behavior, attitude, or external attributes"", 'authenticate, affirm to be true, genuine, or correct, as in an official capacity', 'give testimony in a court of law', 'establish or verify the usage of']}"
audit	{'Noun': ['an inspection of the accounting procedures and records by a trained accountant or CPA', 'a methodical examination or review of a condition or situation'], 'Verb': ['examine carefully for accuracy with the intent of verification', 'attend academic courses without getting credit']}
aurora	"{'Noun': ['the first light of day', ""an atmospheric phenomenon consisting of bands of light caused by charged solar particles following the earth's magnetic lines of force"", '(Roman mythology']}"
austerity	{'Noun': ['the trait of great self-denial (especially refraining from worldly pleasures']}
autodidact	{'Noun': ['a person who has taught himself']}
auxiliary	{'Noun': ['someone who acts as assistant'], 'Adjective': ['functioning in a supporting capacity', 'furnishing added support']}
avant garde
avaricious	{'Adjective': ['immoderately desirous of acquiring e.g. wealth']}
aver	{'Verb': ['report or maintain', 'to declare or affirm solemnly and formally as true']}
aver	{'Verb': ['report or maintain', 'to declare or affirm solemnly and formally as true']}
aversion	{'Noun': ['a feeling of intense dislike', 'the act of turning yourself (or your gaze']}
balkanized	{'Verb': ['divide a territory into small, hostile states']}
banal	{'Adjective': ['repeated too often; overfamiliar through overuse']}
banality	{'Noun': ['a trite or obvious remark']}
bane	{'Noun': ['something causing misery or death']}
baneful	{'Adjective': ['exceedingly harmful', 'deadly or sinister']}
baroque	{'Noun': ['the historic period from about 1600 until 1750 when the baroque style of art, architecture, and music flourished in Europe', 'elaborate and extensive ornamentation in decorative art and architecture that flourished in Europe in the 17th century'], 'Adjective': ['having elaborate symmetrical ornamentation', 'of or relating to or characteristic of the elaborately ornamented style of architecture, art, and music popular in Europe between 1600 and 1750']}
base	"{'Noun': ['installation from which a military force initiates operations', 'lowest support of a structure', 'a place that the runner must touch before scoring', 'the bottom or lowest part', '(anatomy', 'a lower limit', 'the fundamental assumptions from which something is begun or developed or calculated or explained', 'a support or foundation', 'a phosphoric ester of a nucleoside; the basic structural unit of nucleic acids (DNA or RNA', 'any of various water-soluble compounds capable of turning litmus blue and reacting with an acid to form a salt and water', 'the bottom side of a geometric figure from which the altitude can be constructed', 'the most important or necessary part of something', '(numeration system', 'the place where you are stationed and from which missions start and end', 'a terrorist network intensely opposed to the United States that dispenses money and logistical support and training to a wide variety of radical Islamic terrorist groups; has cells in more than 50 countries', '(linguistics', 'the stock of basic facilities and capital equipment needed for the functioning of a country or area', 'the principal ingredient of a mixture', 'a flat bottom on which something is intended to sit', '(electronics'], 'Verb': ['use as a basis for; found on', 'situate as a center of operations', 'use (purified cocaine'], 'Adjective': ['serving as or forming a base', ""of low birth or station (`base' is archaic in this sense"", 'or lowly', '(used of metals', 'not adhering to ethical or moral principles', 'having or showing an ignoble lack of honor or morality', 'illegitimate', 'debased; not genuine']}"
baseless	{'Adjective': ['without a basis in reason or fact']}
bask	{'Verb': ['derive or receive pleasure from; get enjoyment from; take pleasure in', 'be exposed']}
bedazzling	{'Verb': ['to cause someone to lose clear vision, especially from intense light']}
bedlam	{'Noun': ['a state of extreme confusion and disorder', 'pejorative terms for an insane asylum']}
beguiled	{'Verb': ['influence by slyness', 'attract; cause to be enamored'], 'Adjective': ['filled with wonder and delight']}
belie	{'Verb': ['be in contradiction with', 'represent falsely']}
belletristic	{'Adjective': ['written and regarded for aesthetic value rather than content']}
bellicose	{'Adjective': ['having or showing a ready disposition to fight']}
beneficent	{'Adjective': ['doing or producing good', 'generous in assistance to the poor']}
benign	{'Adjective': ['not dangerous to health; not recurrent or progressive (especially of a tumor', 'pleasant and beneficial in nature or influence', 'kindness of disposition or manner']}
beseeched	{'Verb': ['ask for or request earnestly']}
besmirch	{'Verb': ['charge falsely or with malicious intent; attack the good name and reputation of someone', 'smear so as to make dirty or stained']}
besotted	{'Verb': ['make dull or stupid or muddle with drunkenness or infatuation'], 'Adjective': ['very drunk']}
bifurcated	{'Verb': ['split or divide into two', 'divide into two branches'], 'Adjective': ['divided into or made up of two parts']}
bipartisan	{'Adjective': ['supported by both sides']}
blandishments	{'Noun': ['flattery intended to persuade', 'the act of urging by means of teasing or flattery']}
blatant	{'Adjective': ['without any attempt at concealment; completely obvious', 'conspicuously and offensively loud; given to vehement outcry']}
blissful	{'Adjective': ['completely happy and contented']}
blithe	{'Adjective': ['lacking or showing a lack of due concern', 'carefree and happy and lighthearted']}
bloodthirsty	{'Adjective': ['marked by eagerness to resort to violence and bloodshed']}
blunt	{'Verb': ['make less intense', 'make numb or insensitive', 'make dull or blunt', 'make less sharp', 'make less lively, intense, or vigorous; impair in vigor, force, activity, or sensation'], 'Adjective': ['having a broad or rounded end', 'used of a knife or other blade; not sharp', 'characterized by directness in manner or speech; without subtlety or evasion', 'devoid of any qualifications or disguise or adornment']}
bodes	{'Verb': ['indicate, as with a sign or an omen']}
bogged down
bogus	{'Adjective': ['fraudulent; having a misleading appearance']}
boisterous	{'Adjective': ['noisy and lacking in restraint or discipline', 'full of rough and exuberant animal spirits', 'violently agitated and turbulent']}
bolster	{'Noun': ['a pillow that is often put across a bed underneath the regular pillows'], 'Verb': ['support and strengthen', 'prop up with a pillow or bolster', 'add padding to']}
bombastic	{'Adjective': ['ostentatiously lofty in style']}
bon-mots
bonobos	{'Noun': ['small chimpanzee of swamp forests in Zaire; a threatened species']}
boondoggle	{'Noun': ['work of little or no value done merely to look busy'], 'Verb': ['do useless, wasteful, or trivial work']}
boorish	{'Adjective': ['ill-mannered and coarse and contemptible in behavior or appearance']}
boosterish
botched	{'Verb': ['make a mess of, destroy or ruin'], 'Adjective': ['spoiled through incompetence or clumsiness']}
brandishes	{'Noun': ['the act of waving'], 'Verb': ['move or swing back and forth', 'exhibit aggressively']}
breach	{'Noun': ['a failure to perform some promised act or obligation', 'an opening (especially a gap in a dike or fortification', 'a personal or social separation (as between opposing factions'], 'Verb': ['act in disregard of laws, rules, contracts, or promises', 'make an opening or gap in']}
bridge	{'Noun': ['a structure that allows people or vehicles to cross an obstacle such as a river or canal or railway etc.', 'a circuit consisting of two branches (4 arms arranged in a diamond configuration', 'something resembling a bridge in form or function', 'the hard ridge that forms the upper part of the nose', 'any of various card games based on whist for four players', 'a wooden support that holds the strings up', 'a denture anchored to teeth on either side of missing teeth', 'the link between two lenses; rests on the nose', 'an upper deck where a ship is steered and the captain stands'], 'Verb': ['connect or reduce the distance between', 'make a bridge across', 'cross over on a bridge']}
brook	{'Noun': ['a natural stream of water smaller than a river (and often a tributary of a river'], 'Verb': ['put up with something or somebody unpleasant']}
brusque	{'Adjective': ['marked by rude or peremptory shortness']}
brutality	{'Noun': ['the trait of extreme cruelty', 'a brutal barbarous savage act']}
bucolic	{'Noun': ['a country person', 'a short poem descriptive of rural or pastoral life'], 'Adjective': ['(used with regard to idealized country life', 'relating to shepherds or herdsmen or devoted to raising sheep or cattle']}
buoyancy	{'Noun': ['cheerfulness that bubbles to the surface', 'the property of something weightless and insubstantial', 'the tendency to float in water or other liquid', 'irrepressible liveliness and good spirit']}
burgeoning	{'Verb': ['grow and flourish']}
bustling	{'Verb': ['move or cause to move energetically or busily'], 'Adjective': ['full of energetic and noisy activity']}
buttress	{'Noun': ['a support usually of stone or brick; supports the wall of a building'], 'Verb': ['reinforce with a buttress', 'make stronger or defensible']}
buttressed	{'Verb': ['reinforce with a buttress', 'make stronger or defensible'], 'Adjective': ['held up by braces or buttresses']}
byzantine	{'Noun': ['a native or inhabitant of Byzantium or of the Byzantine Empire'], 'Adjective': ['of or relating to the Eastern Orthodox Church or the rites performed in it', 'of or relating to or characteristic of the Byzantine Empire or the ancient city of Byzantium', 'highly complex or intricate and occasionally devious']}
cabal	{'Noun': ['a clique (often secret', 'a plot to carry out some harmful or illegal act (especially a political plot'], 'Verb': ['engage in plotting or enter into a conspiracy, swear together']}
cajole	{'Verb': ['influence or urge by gentle urging, caressing, or flattering']}
callous	{'Verb': ['make insensitive or callous; deaden feelings or morals'], 'Adjective': ['emotionally hardened', 'having calluses; having skin made tough and thick through wear']}
calumnies	"{'Noun': [""a false accusation of an offense or a malicious misrepresentation of someone's words or actions"", ""an abusive attack on a person's character or good name""]}"
candor	{'Noun': ['ability to make judgments free from discrimination or dishonesty', 'the quality of being honest and straightforward in attitude and speech']}
canny	{'Adjective': ['showing self-interest and shrewdness in dealing with others']}
canonization	{'Noun': ['(Roman Catholic and Eastern Orthodox Church']}
capricious	{'Adjective': ['changeable', 'determined by chance or impulse or whim rather than by necessity or reason']}
castigate	{'Verb': ['censure severely', 'inflict severe punishment on']}
catalyst	{'Noun': ['(chemistry', 'something that causes an important event to happen']}
catharsis	{'Noun': ['(psychoanalysis', 'purging the body by the use of a cathartic to stimulate evacuation of the bowels']}
caustic	{'Noun': ['any chemical substance that burns or destroys living tissue'], 'Adjective': ['harsh or corrosive in tone', 'of a substance, especially a strong acid; capable of destroying or eating away by chemical action']}
cauterizes	{'Verb': ['burn, sear, or freeze (tissue', 'make insensitive or callous; deaden feelings or morals']}
cavalier	{'Noun': ['a gallant or courtly gentleman', 'a royalist supporter of Charles I during the English Civil War'], 'Adjective': ['given to haughty disregard of others']}
celebrated	{'Verb': ['behave as expected during of holidays or rites', 'have a celebration', 'assign great social importance to'], 'Adjective': ['widely known and esteemed', 'having an illustrious past']}
cerebral	{'Adjective': ['involving intelligence rather than emotions or instinct', 'of or relating to the cerebrum or brain']}
chaff	{'Noun': ['material consisting of seed coverings and small pieces of stem or leaves that have been separated from the seeds', 'foil in thin strips; ejected into the air as a radar countermeasure'], 'Verb': ['be silly or tease one another']}
chagrin	{'Noun': ['strong feelings of embarrassment'], 'Verb': ['cause to feel shame; hurt the pride of']}
charade	{'Noun': ['a word acted out in an episode of the game of charades', 'making a false outward show']}
charismatic	{'Adjective': ['possessing an extraordinary ability to attract']}
chary	{'Adjective': ['characterized by great caution and wariness']}
chide	{'Verb': ['censure severely or angrily']}
chided	{'Verb': ['censure severely or angrily']}
chronicling	{'Verb': ['record in chronological order; make a historical record']}
chronology	{'Noun': ['an arrangement of events in time', 'a record of events in the order of their occurrence', 'the determination of the actual temporal sequence of past events']}
circumscribing	{'Verb': ['draw a line around', 'restrict or confine within limits', 'to draw a geometric figure around another figure so that the two are in contact but do not intersect']}
cite	{'Noun': ['a short note recognizing a source of information or of a quoted passage'], 'Verb': ['make reference to', 'commend', 'refer to', 'repeat a passage from', 'refer to for illustration or proof', 'advance evidence for', 'call in an official matter, such as to attend court']}
citing	{'Verb': ['make reference to', 'commend', 'refer to', 'repeat a passage from', 'refer to for illustration or proof', 'advance evidence for', 'call in an official matter, such as to attend court']}
clairvoyant	{'Noun': ['someone who has the power of clairvoyance'], 'Adjective': ['perceiving things beyond the natural range of the senses', 'foreseeing the future']}
clamor	{'Noun': ['a loud harsh or strident noise', 'loud and persistent outcry from many people'], 'Verb': ['make loud demands', 'utter or proclaim insistently and noisily', 'compel someone to do something by insistent clamoring']}
clandestine	{'Adjective': ['conducted with or marked by hidden aims or methods']}
coalesced	{'Verb': ['mix together different elements', 'fuse or cause to grow together'], 'Adjective': ['joined together into a whole']}
coda	{'Noun': ['the closing section of a musical composition']}
cogent	{'Adjective': ['powerfully persuasive']}
collusive	{'Adjective': ['acting together in secret toward a fraudulent or illegal end']}
coltish	{'Adjective': ['given to merry frolicking']}
comestible	{'Noun': ['any substance that can be used as food'], 'Adjective': ['suitable for use as food']}
commando	{'Noun': ['a member of a military unit trained as shock troops for hit-and-run raids', 'an amphibious military unit trained for raids into enemy territory']}
commentated	{'Verb': ['make a commentary on', 'serve as a commentator, as in sportscasting']}
commune	{'Noun': ['the smallest administrative district of several European countries', 'a body of people or families living together and sharing everything'], 'Verb': ['communicate intimately with; be in a state of heightened, intimate receptivity', 'receive Communion, in the Catholic church']}
communism	{'Noun': ['a form of socialism that abolishes private ownership', 'a political theory favoring collectivism in a classless society']}
compatriots	{'Noun': ['a person from your own country']}
compel	{'Verb': ['force somebody to do something', 'necessitate or exact']}
complaints	{'Noun': ['an often persistent bodily disorder or disease; a cause for complaining', '(formerly', 'or repeated cries', 'an expression of grievance or resentment', '(civil law', '(criminal law']}
complement	{'Noun': ['a word or phrase used to complete a grammatical construction', 'a complete number or quantity', 'number needed to make up a whole force', 'something added to complete or embellish or make perfect', 'one of a series of enzymes in the blood serum that are part of the immune response', 'either of two parts that mutually complete each other'], 'Verb': ['make complete or perfect; supply what is wanting or form the complement to']}
complementary	{'Noun': ['either one of two chromatic colors that when mixed together give white (in the case of lights', 'in the case of pigments'], 'Adjective': ['of words or propositions so related that each is the negation of the other', 'acting as or providing a complement (something that completes the whole']}
complicit
comprehension	{'Noun': ['an ability to understand the meaning or importance of something (or the knowledge acquired as a result', 'the relation of comprising something']}
conceded	{'Verb': ['admit (to a wrongdoing', 'be willing to concede', 'give over; surrender or relinquish to the physical control of another', 'acknowledge defeat']}
conceit	{'Noun': ['feelings of excessive pride', 'an elaborate poetic image or a far-fetched comparison of very dissimilar things', 'a witty or ingenious turn of phrase', 'an artistic device or effect', 'the trait of being unduly vain and conceited; false pride']}
concessionary
concomitant	{'Noun': ['an event or situation that happens at the same time as or in connection with another'], 'Adjective': ['occurring with or following as a consequence']}
concrete	{'Noun': ['a strong hard building material composed of sand and gravel and cement and water'], 'Verb': ['cover with cement', 'form into a solid mass; coalesce'], 'Adjective': ['capable of being perceived by the senses; not abstract or imaginary', 'formed by the coalescence of particles']}
condoned	{'Verb': ['excuse, overlook, or make allowances for; be lenient with']}
confers	{'Verb': ['have a conference in order to talk something over', 'present']}
confound	{'Verb': ['be confusing or perplexing to; cause to be unable to think clearly', 'mistake one thing for another']}
congeal	{'Verb': ['become gelatinous']}
congenial	{'Adjective': ['suitable to your needs', '(used of plants']}
conglomerates	{'Noun': ['a composite rock made up of particles of varying size', 'a group of diverse companies under common ownership and run as a single organization'], 'Verb': ['collect or gather']}
congress	{'Noun': ['the legislature of the United States government', 'a meeting of elected or appointed representatives', 'a national legislative assembly', 'the social act of assembling for some common purpose']}
congruent	{'Adjective': ['corresponding in character or kind', 'coinciding when superimposed']}
conjectural	{'Adjective': ['based primarily on surmise rather than adequate evidence']}
consanguineous	{'Adjective': ['related by blood']}
consecration	{'Noun': ['a solemn commitment of your life or your time to some cherished purpose (to a service or a goal', '(religion', 'usually with religious rites']}
constitution	{'Noun': ['law determining the fundamental political principles of a government', 'the act of forming or establishing something', 'the constitution written at the Constitutional Convention in Philadelphia in 1787 and subsequently ratified by the original thirteen states', 'the way in which someone or something is composed', 'a United States 44-gun frigate that was one of the first three naval ships built by the United States; it won brilliant victories over British frigates during the War of 1812 and is without doubt the most famous ship in the history of the United States Navy; it has been rebuilt and is anchored in the Charlestown Navy Yard in Boston']}
contemptible	{'Adjective': ['deserving of contempt or scorn']}
contention	{'Noun': ['a point asserted as part of an argument', 'a contentious speech act; a dispute where there is strong disagreement', 'the act of competing as for profit or a prize']}
contest	{'Noun': ['an occasion on which a winner is selected from among two or more contestants', 'a struggle between rivals'], 'Verb': ['to make the subject of dispute, contention, or litigation']}
contraband	{'Noun': ['goods whose importation or exportation or possession is prohibited by law'], 'Adjective': ['distributed or sold illicitly']}
contrary	{'Noun': ['a relation of direct opposition', 'exact opposition', 'a logical relation such that two propositions are contraries if both cannot be true but both can be false'], 'Adjective': ['very opposed in nature or character or purpose', 'of words or propositions so related that both cannot be true but both may be false', 'resistant to guidance or discipline', 'in an opposing direction']}
contravening	{'Verb': ['go against, as of rules and laws', 'deny the truth of']}
contribute	{'Verb': ['bestow a quality on', 'contribute to some cause', 'be conducive to', 'provide']}
contrite	{'Adjective': ['feeling or expressing pain or sorrow for sins or offenses']}
contrivance	{'Noun': ['a device or control that is very useful for a particular job', 'the faculty of contriving; inventive skill', 'an elaborate or deceitful scheme contrived to deceive or evade', 'an artificial or unnatural or obviously contrived arrangement of details or parts etc.', 'any improvised arrangement for temporary use', 'the act of devising something']}
contrived	{'Verb': ['make or work out a plan for; devise', 'come up with (an idea, plan, explanation, theory, or principle', 'put or send forth'], 'Adjective': ['showing effects of planning or manipulation', 'artificially formal']}
conundrums	{'Noun': ['a difficult problem']}
